full_text,Misoginy
Feminazis ni que hijueputas.,1
 Locas Feminazi aborteras matabebes.,1
  Ahora me salieron feminazis jajaja ,1
"Joda aquí en Twitter si debe haber feminazi, menor tengo cuidado con lo que digo.",1
" No soy anti lgtb...no me molestan...ni me preocupan, son menos peligrosos que las extremistas feminazis y aborteras.",1
" Típico programita feminazi y asqueroso.
Aplaudiendo la infidelidad de la esposa hacia el marido.
Es un asco que este tipo de programas exista si quiera.",1
"#oraciónmartes Oro por los padres solteros. Señor ilumínalos para ejercer su paternidad muy a pesar de las feminazis y de la sociedad que los estigmatice en vez de propender porque los hombres, solteros o no, ...",1
"No veo a las ""sororas""(ejército feminazi) manifestar ni mierda acerca del bullying que le están haciendo a la congresista, que gente tan de doble moral, incluso las he visto burlándose, si hubiera sido Maria José Pizarro por ejemplo, estarían haciendo lo mismo?",1
" No se vaya asustar! Ese es el gremio de feminazis... el cuartel de las feas, que si le dices preciosas, se ofenden, xq piensa que te le burlas, pues ellas saben que no lo son! ",1
 Y empieza de nuevo el lobby feminazi,1
Esas feminazis son más intensas que los testigos de Jehová ,1
"Feminazi enferma, que el infeliz ese ponga primera y arranque,ya sabe lo que le espera ",1
La maldad les regresó a las FemiNazi como un boomerang ,1
"Si usted es FEMINAZI ⤵️
NO se le ocurra celebrar la Navidad
NI pedir Regalos.
Nosotros celebramos un Nacimiento No un aborto",1
 Creo que esta panda de feminazis pasan mucha hambre .../ ,1
No hay mujer fea sino feminazi.,1
"  Pues uds harían bien en no enviar a nadie más a inmolarse donde los desubicaos de   y su feminazi PDR que ya advirtió, creo que ha comprado acciones de ese medio mermelero, o es que el dueño le da carta blanca para decidir que uds no van más.",1
  Esta niña suena a marioneta feminazi con grabación incluida 🤦‍♀️,1
FEMINAZIS HIPÓCRITAS!! ,1
"... feminazi y chavista. Todos les salpica.

Ustedes dan miedo.",1
"Maldito el día en el que se crearon estas 3 nuevas
RAZAS:

- Ñengozos. 
- Feminazis.
- Maricones. (Cobardes que abusan y enfrentan a una mujer) 

Que mundo de mierda en el que estamos viviendo. 
Hasta mañana ""princesos"" y ""preciosas"".✌ ",1
 Otra feminazi más,1
" Esas feminazis, solo tienen y destilan odio, eso es una doctrina de mierda, le carbonizan el cerebro!.",1
"Las feminazis son lo más machista que existe en la tierra, condenan a las mujeres que son independientes que se expresan, trabajan, son madres responsable y no apoyan su estupidez de movimiento en el que quieren trato preferencial por ser mujeres, ser mantenidas del gobierno",1
" Quien es capaz de piropiar a las feminazis. Eso si es ser puerco. Además en la hinchada barcelonista también hay mujeres. Estas feminazis son ridículas, ahora generalizando a la hinchada de un club deportivo.",1
"  Muy buena ...ya no son ""feminazis""...ahora son ""femisimias""...🤣🤣🤣🤣",1
 Las feminazis comentando en 3 2 1....,1
"Le cogi fastidio a las feminazis, sorryyy",1
"   Censurando las opiniones de los demás, pero después no quieren que les digan feminazis 🤣",1
" Sigue ahí, tienes condiciones. Vas a salir más empoderada que todas las flacas de facultades de sociales juntas, vas a salir con barrio, con calle. Ninguna de estas feminazis tiene eso por eso están refugiadas en sus facus con sus estudios de género y acción afirmativa.",1
 Que pendejadas dicen estas feminazis,1
La primera parada de transporte público equipada con cristales anti feminazis. ,1
 Y algunas idiotas feminazis quieren quemar la Catedral donde descansan sus restos. Estamos condenados,1
"Lo de feminazi es discutible porque si hay feministas que lo son, por ejemplo, el caso del hombre viejo y ciego entrando por error al vagón de solo mujeres en México. ",1
Ni porque sea feminazi la hdsptm ,1
" 👏👏👏👏 No soy boliviana pero siento que esta mujer sí me representa, no las feminazis que andan por ahí mostrando sus partes íntimas, con pañuelo verde, haciendo espectáculos rídículos  para llamar la atención desde Chile hasta Colombia",1
  Troles defendiendo la insencibilidad de quienes deberían servir a los peruanos. Será pq las feminazis solo defienden al aborto y a los homos??,1
"   Jajajaja, usa tu cerebro, entiende q ser feminazi no es cool, más bien es demostrar lo ignorante, bruta y manipulable q eres...🤦🤦",1
" Parece que las feminazis están desembarcando en Pma. Ojalá no lleve la ola que nos está ahogando en Argentina, Chile o Colombia. Los progres comunistas bancando económicamente a todos éstos movimientos con plata del narcotrafico para destruir países e imponer el zurdaje/dictadura",1
"  Pues haz como las feminazis, ponte un lacito, denuncia al Rey y hazte súbdita del mayordomo del chalet del Vicepresidente de ""Podemos"". Rebadeu quines pardaleries.",1
"Feminismo = Feminazis = Mongolicas!!!!
Todes??? Por favor!!!!!",1
 🤣🤣🤣🤣🤣remera para volver locas (más de lo que estan) a las feminazis,1
 ASÍ COMO TUS DELIRIOS FEMINAZIS? JAJAJJAJAJAJAJAJAJA. duermase.,1
Porque cuando imponen sobre la vida y la libertad de alguien más ahí serán feminazis. ,1
"Las FEMINAZIS buscan ""igualdad"" dónde ya existe,donde hay VERDADERA DESIGUALDAD los emiratos árabes, Marruecos etc y xq no van allá??NO buscan igualdad sino PRIVILEGIOS y a mi MUJER NO ME REPRESENTAN!!
contra las FEMINAZIS..
#TodAsSomosLaResistencia !! ",1
"Las mujeres en aras de la igualdad, deberían trabajar de linearas en la  como los hombres. #Feminazis",1
" Me ha pasado lo mismo. Lo sigo haciendo y seguiré, es mi manera de saber si es una MUJER o una feminazi resentida.",1
"Cuando eres hombre y se te ocurrió tener una novia feminazi 😐

Descripción gráfica: ",1
"Una feminazi me hizo quitar mi tula de una silla en el metro para acomodarse las medias, ¿qué es este tipo de violencia?",1
"Jajajajaja que sucede aquii 🤣🤣
que dicen las feminazis ",1
" urrr que nojo, webmamada de feminazi esquerdopata",1
     Si ya como con esa canción Feminazi se a logrado mucho felicidades 😂😂😂,1
 A todas esas feminazis se les acaba todo cuando es de pagar la cuenta ...,1
   Feminazis descubren la paja,1
"De lo parte la feminazi puede irse la casa de la gabardina, que manera de joder y hacerse notar con ridiculeces, a parte q la tipa es verdaderamente fea y debió sentirse alagada ",1
"Las feminazis quieren por poco que este chico vaya preso por su humor negro, porque eso es violencia y no libre expresión.
Una diputada provincial amenaza físicamente a un persona en concreto, y eso no es violencia si no libertad de expresión.
Hay confusión de conceptos ",1
"HORROOOOOOR está casi calato con su gorro de policía y su diploma tapando su órgano genital. Ayyy y sus tetillas, quémenlo como a las feminazis que se quitan el brasier para protestar. 
#Sarcasm 
Pd. Doble moral everywhere ",1
" es la feminazi de  cargo en el que rema para donde le conviene, su circulo de ridículas feminazis y menos se preocupa por disculparse con la ciudadanía por lo inservible que ha sido en el cargo que nosostros mismos pagamos ! Debes rendirte a quienes te alimentan.",1
"  Los halagos con piropos educados no deben molestar, hay muchísimas parejas q iniciaron su relación así, estamos en un tiempo en donde la #feminazis critican hasta al aire q las toca... Y eso está re mal.",1
" Y las feminazis? Se escondieron o qué fue? Esa sonrisa de oreja a oreja. Qué pena, ni en la prenvención ni en la punición están",1
"  QUÉ ERES LOCA? Por qué mencionas el lugar de trabajo de ese señor solo porque no te guste su broma? No por nada les dicen FEMINAZIS, FEMILOCAS...",1
Mostritas #Feminazi amenazando como ellas saben. ,1
"  Atea y feminazi, ya para que responderle la bestialidad que escribe...",1
  Felicitaciones pero no pida disculpa por una feminazi,1
     Claro que si las niñas y niños por nacer nos  recuerdan el nacimiento del niño Jesús pero como las Feminazis trapo verde no creen en Dios como un rito satánico prefieren sacrificar inocentes y no lo vamos a permitir,1
Se imaginan las feminazis!🤣🤣🤣 ,1
Cada día vuelvo a ver otro video de las feminazis! Como son tan ridículas y locas vale! La gente pasa pena sola...,1
Feminazi al cuete ,1
Las feminazis del siglo XXI. Cualquier pendejada les parece una ofensa terrible: ,1
 Feminazi mariguanada!,1
"Serán muy feminazis pero bien que arbolitos, regalos para las crías, odian el consumismo pero la foto pal face con ropita nueva y toda la cosa 🤷 ",1
"Fea, ladrona y para mas cagarla...ordinaria.
Que diferencia con la caballerosidad del ex presidente Macri...feminazi? ",1
"#FEMINAZIS unidas con propósitos #PROMUERTE trabajando para PLANNED PARENTHOOD 
#GeorgeSoros #ippf  #ONU #CIDH ",1
"me gusta mas esta version que la de las feminazis ,el zurdito capusotto me cabe ",1
"Voy hacer tutoriales para enseñarle a las que quieran saber   como bañar a un bebé, como hacer el biberon, como ponerle un pañal y como hacer arroz carne y frijoles.
Guachito de pollo con culantro y contar los 3 centavos  Porque con la generacion ""feminazi"" Sálvese quien pueda.",1
       Y ese lenguaje feminista que¡? cuanta doble moral en estas feminazis ,1
"No todas las lesbianas odian a los hombres, me consta, las que odian a los hombres son solo las feminazis, que son un grupito minúsculo (pero ruidoso lamentablemente), a ese grupito hay que arriconarlas hasta meterlas en un galpón, cerrarlo con llave y luego quemarlo.",1
Esto no es feminismo es ser #Feminazi de mierda. ,1
 Y luego se quejan de que las llamemos feminazis esto era lo que hacían los nazis en sus tiempos 🤔,1
 JAJAJAJJAJAJJAJAJA BRUJA FEMINAZI JAJAJJAJAJAJA Me encanta.,1
Demasiadas #Feminazis por aquí 🤔,1
  Alguien ha visto una feminazi bonita y con sonrisa de felicidad. Son modelos para los papeles de brujas de las películas de Disney,1
"No falta la desocupada feminazi por allá dando Lora, estamos es jodidos con estas personas 😲😲🤔🤔 en Laureles del castillo ",1
 Estupideces de anormales y feminazis,1
" Sabías que la mujer que la descuartizó es feminazis?
Ubica mejor tus ideas la ideologia de género lo asesino",1
Esa negrita con las teticas o lagrimitas  afuera y portando una bandera gay. Que buscara? Las feminazi tambien son sexo diverso? Pregunto para estar al dia. ,1
"En #Miraflores un distrito de clase media tradicional, las #Feminazi y su discurso de odio no tienen cabida. ",1
 Hay que hacer el de la feminazi del año 🤣,1
 El asunto es q estás feminazis tienen un serio problema mental...descargan contra el pocho toda su frustración. No se si es odio a los hombres o celos de las mujeres lo q no les deja ver que JLo y Shakira salen a VENDER sus cuerpos semidesnudos y se alimentan de estos comentarios,1
 Esperemos que cierto grupito de feminazis como  no nos dañe la alegría de recordar viejos tiempos.,1
"Si para atrapar a más asesinas de niños tenemos que cargarnos a unas cuantas ""inocentes"" (importando un bledo las consecuencias para la vieja) pues lo hacemos y listo. Es un precio que se debe pagar.

Y luego que porque les dicen ""Feminazis"" ",1
"Dedicado con cariño a las mujeres que se han rebajado a sí mismas todo este año en este sinsentido.

#Feminazis ",1
Perfecta descripción de la mano de una #feminazi tal como la quiere hacer ese papel para recoger caca de can del parque. Para otra cosa no sirve. ,1
"Yo pidiéndole a mí hija feminazi que ayude con las cosas de la casa , ella contestandome ni en pedo!! 
Quema ese pañuelo Mabeeeeel 
🤣🤣🤣🤣 se va a caer cuando maten el machirulo que tienen adentro 😉 ",1
"En Profamilia prima la decisión de la mujer, por encima del hombre, y por encima de un ser humano (porque un feto de 7 meses definitivamente es un ser humano, completamente formado).

Entonces, cómo así que familia?
Eso es un antro feminazi, no es más.",1
Lindas las Feminazi cada vez más inteligentes... ,1
Ay no te la puedo aguante mi prima la feminazi y el amigue invisible navideño ,1
  Activista política que dice ser periodista. Que de una vez haga su ONG feminazi y deje de aparecer como víctima de violencia.,1
"  Estamos hablando de estas ""cosas"" que piensan que los gallos violan a las gallinas y dan este tipo deplorable de espectáculo.
Entiendo el reclamo pero vamos de un extremo machista al otro feminazi
Ambos 100% agresivos para con el otro.
Asco producen.",1
" Si lo que quieres es crecer en esta red, al menos sé honesto hipócrita, y no te contesto más xq usas mi cuenta para que te vean xq eres invisible. Y para que estes claro te repito: que el #feminismo y el movimiento #Feminazi es Diabólico. Ahora defiéndelas tu hipócrita",1
"Esas feminazis son la cagada...
😂😂😂😂 ",1
 Y xq acá no salta ni una de esaa feminazis que no se las come ni el óxido???,1
"Me tienen mamada con tanta marchadera inútil, con tanto capitalista hablando de socialismo e igualdad,con tanta feminazi odiando hombres y viendose como unas cochinas que no se bañan, con tanto ñero y marginal vago resentido culpando a todos de sus desgracias, ya paren!!!! 🙄🙄🙄",1
"Que no señorita feminazi, ser virgen y resentida no es un talento válido para el miss universo...",1
"No gorda no mereces que te mencione, no voy a darle vista a semejante par de estupidos, tú eres una pendeja que necesita aprobación masculina y dice que no apoya una causa donde hablan de que violan MUJERES y el man tratándome de feminazi por decirle que es un bobo hpta jaja",1
"  Lastimosamente a esto están orillando las feminazis, ya que no se sabe si lo van a tomar bien o te van a acusar de acosador 
Así que empuje no más...",1
"Independientemente de si creas o no en dios, mientras más se aleja la humanidad de esa huevonada,  más se va perdiendo en valores, inteligencia y respeto, un claro ejemplo de ello son las feminazis.",1
Cuando la feminazi descubre que es feminismo y no feminisma ,1
Para esa època no era feminazi. xD ,1
Para todas ustedes feminazis ridículas hijas de puta. pendejas ! ,1
"Hoy escuché a una feminazi decir q si te ofende que te digan ""violador"" es pq tu personalidad está en construccion  .. 🤮Me encantan cuando te dicen como debes pensar sin usar tu inteligencia🙉 ",1
" Perdona niña, pero ustedes no son feministas, ustedes som #FemiNazis ustedes solo se representan a ustedes, y nosotras las verdaderas feministas, somos las que no le debemos nada a ustedes  #nomerepresentan #Wyznick",1
Nadie quiere violar a esas feminazis porque tienen caras de zombies trasnochados. ,1
" Bien hecho Jajajaja se la tiro,  a esas feminazis les falta una porción de su misma mierdita",1
