,in_reply_to_status_id,quoted_status_id,quoted_status_id_str,id,is_quote_status,favorited,favorite_count,source,possibly_sensitive,in_reply_to_user_id,in_reply_to_status_id_str,truncated,retweet_count,retweeted,lang,source_url,full_text,in_reply_to_user_id_str,in_reply_to_screen_name,id_str,author,author_id
0,,1.2088682157173228e+18,1208868215717322752,1208882934196981762,True,False,10,Twitter for Android,False,,,False,5,False,es,http://twitter.com/download/android,"Bravo @inMatrix5.
Efectivamente, @A_LopezMaraver opinó sobre la sentencia del Arandina, sin haber tenido oportunidad de leer su contenido. 

De entrada asumes la decisión de la justicia, solo dudas cuando ves contradicciones y poca base probatoria para dicha condena.

#Vox https://t.co/LPQr8kxutD",,,1208882934196981762,Jasafella,935987734992359434
1,1.2087284059921859e+18,,,1209091650322096130,False,False,1,Twitter for Android,,1539066816.0,1208728405992185856,False,0,False,es,http://twitter.com/download/android,"@ibarweb @MAbolicion @TFeminista_ Cultura puede ser, jueces u policía lo pongo más en duda. A la sentencia de la Arandina me remito",1539066816,ibarweb,1209091650322096130,Centollobucane1,1160206263223029760
2,1.2065513863197368e+18,,,1206559593222082560,False,False,0,Twitter for Android,,1.1657688795887616e+18,1206551386319736832,False,0,False,es,http://twitter.com/download/android,"@Persona_regular @anarob12 @Malequith Mi argumento, ESCUCHA LOS AUDIOS y ten criterio propio.

Con las brujas de Salen no hubo AUDIOS y en este caso la hoguera son 38 años, algo totalmente desproporcionado cuando en España, hay condenas de 2 o 5 años en casos de muerte...

Si tu argumento es insultar mal vamos 😘",1165768879588761600,Persona_regular,1206559593222082560,Cooper87516148,1084126803260854272
3,,,,1206702801843298309,False,False,3,Twitter for iPhone,,,,False,1,False,es,http://twitter.com/download/iphone,"La típica de: “es que yo conozco a uno del caso Arandina y sé que no haría eso” me parece tan absurdo como si la madre, el padre o algún familiar de un violador/asesino dijese que su hijo/lo q sea no sería capaz de hacer algo así. POR FAVOR, MIRAD LOS CASOS.",,,1206702801843298309,soffimg_,2749179892
4,1.206544992879235e+18,,,1206551910624485376,False,False,0,Twitter for Android,,9.510004055295058e+17,1206544992879235073,False,0,False,es,http://twitter.com/download/android,@OrbitaEduardo Y si no dice que la has violado y te manda derecho a la cárcel para los próximos 38 años.,951000405529505792,OrbitaEduardo,1206551910624485376,Salvador_vet,4853248359
5,,,,1205381588277714944,False,False,23,TweetDeck,False,,,False,17,False,es,https://about.twitter.com/products/tweetdeck,"Las juristas resaltan la utilización de dos conceptos que raramente usan los tribunales inferiores al Supremo: la intimidación ambiental y la cooperación necesaria 

Por @kohanm

https://t.co/6fAqQjqR6Y",,,1205381588277714944,publico_es,17676713
6,,,,1206665082526154753,False,False,20,Twitter for Android,,,,False,2,False,es,http://twitter.com/download/android,"Que los chavales del arandina se han caído con todo el equipo lo saben hasta en el polo norte. Haya lo que haya hecho la chavala. Si no sabes torear pa que te metes, Manolete.",,,1206665082526154753,albichoquetrepa,799228543
7,1.2065813009472266e+18,,,1206582191934857216,False,False,0,Twitter for iPhone,,9.93236825522262e+17,1206581300947226624,False,0,False,es,http://twitter.com/download/iphone,"@Carmen06755533 @ebecadal @djmixe01 @camino_bueno @samuelbeticovlc @Andrea_Lazaro_8 @juvini100 Yo realmente entiendo la concentración. Tendrán familiares, amigos, algún radical político y forofos de la Arandina que no ven más allá del hecho de ser de su equipo de fútbol (unga, unga). Eso juntará unos 200 que solo verán eso. Que son sus colegas a los que hay que apoyar. 🤷‍♂️",993236825522262022,CarmenMarLan35,1206582191934857216,ParisNiza,493290839
8,,,,1209154937843847170,False,False,0,Twitter Web App,False,,,False,0,False,es,https://mobile.twitter.com,"A @vox_es le ha nacido un club de entendidos. Tras una 'faena' sobre el caso de la Arandina que no gustó a este exigente tendido, llovieron almohadillas sobre el ruedo. Espero que en las próximas elecciones acaben comprando su entrada, aunque sea para ver a Vox hacer el paseillo https://t.co/1qUcOJnELU",,,1209154937843847170,Liberalcoriano,98989017
9,1.2065867679414845e+18,,,1206589703249682433,False,False,0,Twitter for iPhone,,1.051503401828307e+18,1206586767941484544,False,0,False,es,http://twitter.com/download/iphone,@PicBravedick @MariaJamardoC Los 38 años es debido a dos penas por cooperación necesaria,1051503401828306945,PicBravedick,1206589703249682433,rhosajimenez,1050468824468865024
